pp,pn
1.62E-03,9.98E-01
1.29E-02,9.21E-01
6.17E-04,8.28E-01
3.26E-02,7.32E-01
5.25E-02,7.18E-01
1.44E-02,6.48E-01
4.40E-02,6.06E-01
2.81E-03,5.15E-01
6.82E-03,4.55E-01
3.18E-02,4.47E-01
1.61E-01,4.45E-01
9.16E-03,3.63E-01
9.38E-03,3.39E-01
4.27E-02,3.12E-01
1.12E-01,2.96E-01
2.12E-02,2.48E-01
7.24E-02,2.38E-01
6.31E-02,2.20E-01
6.19E-02,2.20E-01
2.75E-02,2.07E-01
7.86E-02,1.70E-01
9.42E-02,1.67E-01
9.52E-02,1.26E-01
1.72E-01,1.26E-01
1.09E-01,1.13E-01
1.19E-01,1.06E-01
1.68E-01,9.89E-02
1.51E-01,9.46E-02
1.08E-01,7.82E-02
1.62E-01,7.05E-02
1.59E-01,5.18E-02
1.71E-01,4.77E-02
1.90E-01,4.40E-02
1.90E-01,3.87E-02
1.84E-01,3.21E-02
1.90E-01,2.92E-02
2.18E-01,2.70E-02
2.08E-01,2.53E-02
1.92E-01,2.26E-02
1.92E-01,2.02E-02
1.94E-01,1.95E-02
1.96E-01,1.91E-02
2.27E-01,1.73E-02
2.31E-01,1.47E-02
2.48E-01,1.03E-02
2.55E-01,8.48E-03
2.56E-01,2.38E-03
